Model,Threshold,Precision,Recall,F1-Score,ROC-AUC,run_id
Logistic Regression,Default (0.5),0.1325085705768371,0.6126809097174363,0.2178921568627451,0.7740215864085701,20251102_184112
Logistic Regression,Optimized (0.871),0.28,0.1543762922122674,0.1990226565970679,0.7740215864085701,20251102_184112
Random Forest,Default (0.5),0.3392504930966469,0.3556168159889731,0.3472409152086137,0.822796473000432,20251102_184112
Random Forest,Optimized (0.773),0.749271137026239,0.1771192281185389,0.2865105908584169,0.822796473000432,20251102_184112
Gradient Boosting,Default (0.5),0.3307692307692307,0.3259820813232253,0.3283582089552239,0.8237050119439647,20251102_184112
Gradient Boosting,Optimized (0.887),0.7493188010899182,0.1895244658855961,0.3025302530253025,0.8237050119439647,20251102_184112
Gradient Boosting Pro,Default (0.5),0.3780487804878049,0.2991040661612681,0.3339746056175452,0.827332119316672,20251102_194110_advanced
Gradient Boosting Pro,Optimized (0.863),0.7506234413965087,0.2074431426602343,0.3250539956803456,0.827332119316672,20251102_194110_advanced
Random Forest Pro,Default (0.5),0.3702830188679245,0.3246037215713301,0.3459419757620272,0.8141724462917579,20251102_194110_advanced
Random Forest Pro,Optimized (0.781),0.75,0.1798759476223294,0.2901612006670372,0.8141724462917579,20251102_194110_advanced
XGBoost,Default (0.5),0.150626906133514,0.6126809097174363,0.2418060655514756,0.8161711678911534,20251102_194110_advanced
XGBoost,Optimized (0.992),0.7441860465116279,0.1543762922122674,0.2557077625570776,0.8161711678911534,20251102_194110_advanced
LightGBM,Default (0.5),0.1626846616815611,0.6147484493452792,0.2572829535621574,0.8201525535499736,20251102_194110_advanced
LightGBM,Optimized (0.988),0.721875,0.1592005513439007,0.2608695652173913,0.8201525535499736,20251102_194110_advanced
Ensemble,Default (0.5),0.3947811447811448,0.3232253618194349,0.3554376657824933,0.8301498523462423,20251102_194110_advanced
Ensemble,Optimized (0.824),0.75,0.2088215024121295,0.3266846361185984,0.8301498523462423,20251102_194110_advanced
