feature,importance
recent_top10_rate,0.19599428674145944
recent_top10_count,0.19177298826487335
race_tier,0.14690150689922157
Race_Name_encoded,0.09308091893348998
Pnt_avg,0.07897733782433526
UCI_avg,0.03852278567879087
Pnt_points_per_race,0.0333853214700566
UCI_total,0.024243674389950974
UCI_std,0.019178780480419412
UCI_points_per_race,0.017860550724135445
Length_km,0.017768492239337172
Team_encoded,0.014706621721049891
rolling_avg_rank_5,0.014459443615053493
UCI_max,0.013829011784547606
Pnt_race_count,0.013419985956063115
age_at_race,0.012521148686568022
rolling_avg_rank_10,0.01134279241953303
pps_Climber,0.008600462786278724
pps_Sprint,0.008477631759756226
pps_One day races,0.008476902005718493
rdr_Specials | All Time Ranking,0.007948523773869285
pps_GC,0.007721103090205734
pps_Time trial,0.0073820318712577195
rdr_PCS Ranking,0.00695350806358893
rdr_UCI World Ranking,0.00647418882043968
