feature,importance
has_race_points,0.8690467164503229
recent_top10_count,0.056542338812353855
recent_top10_rate,0.041336900022107645
UCI_filled,0.013883871491055962
Race_Name_encoded,0.008548140168147844
race_tier,0.005123687332346594
Length_km,0.0019726117193797714
age_at_race,0.0014393379924262865
pps_One day races,0.000514565752138266
pps_Sprint,0.0002950417473533953
rolling_avg_rank_10,0.0002217803542190245
rolling_avg_rank_5,0.00019530952806260244
Pnt_avg,0.00017667014866671802
pps_Time trial,0.000132257555693365
UCI_points_per_race,0.00011199587001342332
Team_encoded,0.00010711127274216583
UCI_total,8.944085061150346e-05
pps_Climber,8.016155652928856e-05
pps_GC,6.252682533424113e-05
UCI_max,3.202471338522957e-05
UCI_std,2.9925827705150264e-05
rdr_PCS Ranking,2.765986545708389e-05
UCI_avg,1.7031190692398504e-05
rdr_UCI World Ranking,7.1753044556842666e-06
Pnt_points_per_race,5.717648799542176e-06
