,fullname,team,birthdate,country,height,weight,rider_url,pps,rdr
0,BARDET Romain,Team DSM,1990-11-09,France,1.84,65.0,https://www.procyclingstats.com/rider/romain-bardet,"{'One day races': '2620', 'GC': '5138', 'Time trial': '333', 'Sprint': '446', 'Climber': '6414'}","{'PCS Ranking': '43', 'UCI World Ranking': '52', 'Specials | All Time Ranking': '375'}"
1,DUMOULIN Samuel,noteam,1980-08-20,France,1.59,57.0,https://www.procyclingstats.com/rider/samuel-dumoulin,"{'One day races': '3681', 'GC': '1277', 'Time trial': '91', 'Sprint': '6327', 'Climber': '615'}",{'Specials | All Time Ranking': '365'}
2,GALLOPIN Tony,AG2R Citroën Team,1988-05-24,France,1.8,69.0,https://www.procyclingstats.com/rider/tony-gallopin,"{'One day races': '2864', 'GC': '2268', 'Time trial': '1066', 'Sprint': '1988', 'Climber': '2545'}","{'PCS Ranking': '511', 'UCI World Ranking': '999', 'Specials | All Time Ranking': '537'}"
3,NAESEN Oliver,AG2R Citroën Team,1990-09-16,Belgium,1.84,72.0,https://www.procyclingstats.com/rider/oliver-naesen,"{'One day races': '3619', 'GC': '1157', 'Time trial': '35', 'Sprint': '1996', 'Climber': '968'}","{'PCS Ranking': '203', 'UCI World Ranking': '143', 'Specials | All Time Ranking': '729'}"
4,FRANK Mathias,noteam,1986-12-09,Switzerland,1.76,64.0,https://www.procyclingstats.com/rider/mathias-frank,"{'One day races': '702', 'GC': '2803', 'Time trial': '604', 'Sprint': '352', 'Climber': '2386'}","{'PCS Ranking': '755', 'UCI World Ranking': '902', 'Specials | All Time Ranking': '1235'}"
5,VUILLERMOZ Alexis,Team TotalEnergies,1988-06-01,France,1.74,60.0,https://www.procyclingstats.com/rider/alexis-vuillermoz,"{'One day races': '1168', 'GC': '1506', 'Time trial': '98', 'Sprint': '416', 'Climber': '1523'}","{'PCS Ranking': '446', 'UCI World Ranking': '478', 'Specials | All Time Ranking': '1436'}"
6,LATOUR Pierre,Team TotalEnergies,1993-10-12,France,1.8,66.0,https://www.procyclingstats.com/rider/pierre-latour,"{'One day races': '583', 'GC': '1795', 'Time trial': '890', 'Sprint': '164', 'Climber': '2186'}","{'PCS Ranking': '126', 'UCI World Ranking': '149', 'Specials | All Time Ranking': '1795'}"
7,GENIEZ Alexandre,Team TotalEnergies,1988-04-16,France,1.84,68.0,https://www.procyclingstats.com/rider/alexandre-geniez,"{'One day races': '538', 'GC': '1709', 'Time trial': '707', 'Sprint': '350', 'Climber': '1380'}","{'PCS Ranking': '982', 'UCI World Ranking': '1331', 'Specials | All Time Ranking': '954'}"
8,DUPONT Hubert,noteam,1980-11-13,France,1.74,57.0,https://www.procyclingstats.com/rider/hubert-dupont,"{'One day races': '353', 'GC': '2020', 'Time trial': '107', 'Sprint': '426', 'Climber': '1341'}",{}
9,DILLIER Silvan,Alpecin-Fenix,1990-08-03,Switzerland,1.83,75.0,https://www.procyclingstats.com/rider/silvan-dillier,"{'One day races': '1080', 'GC': '803', 'Time trial': '525', 'Sprint': '902', 'Climber': '404'}","{'PCS Ranking': '424', 'UCI World Ranking': '339', 'Specials | All Time Ranking': '1209'}"
