,rider_name,rider_url
0,BARDET Romain,https://www.procyclingstats.com/rider/romain-bardet
1,DUMOULIN Samuel,https://www.procyclingstats.com/rider/samuel-dumoulin
2,GALLOPIN Tony,https://www.procyclingstats.com/rider/tony-gallopin
3,NAESEN Oliver,https://www.procyclingstats.com/rider/oliver-naesen
4,FRANK Mathias,https://www.procyclingstats.com/rider/mathias-frank
5,VUILLERMOZ Alexis,https://www.procyclingstats.com/rider/alexis-vuillermoz
6,LATOUR Pierre,https://www.procyclingstats.com/rider/pierre-latour
7,GENIEZ Alexandre,https://www.procyclingstats.com/rider/alexandre-geniez
8,DUPONT Hubert,https://www.procyclingstats.com/rider/hubert-dupont
9,DILLIER Silvan,https://www.procyclingstats.com/rider/silvan-dillier
10,COSNEFROY Benoît,https://www.procyclingstats.com/rider/benoit-cosnefroy
11,CHEREL Mikaël,https://www.procyclingstats.com/rider/mikael-cherel
12,VANDENBERGH Stijn,https://www.procyclingstats.com/rider/stijn-vandenbergh
13,VENTURINI Clément,https://www.procyclingstats.com/rider/clement-venturini
14,GOUGEARD Alexis,https://www.procyclingstats.com/rider/alexis-gougeard
15,BAGDONAS Gediminas,https://www.procyclingstats.com/rider/gediminas-bagdonas
16,PARET-PEINTRE Aurélien,https://www.procyclingstats.com/rider/aurelien-paret-peintre
17,GODON Dorian,https://www.procyclingstats.com/rider/dorian-godon
18,GASTAUER Ben,https://www.procyclingstats.com/rider/ben-gastauer
19,WARBASSE Larry,https://www.procyclingstats.com/rider/lawrence-warbasse
20,PETERS Nans,https://www.procyclingstats.com/rider/nans-peters
21,DUVAL Julien,https://www.procyclingstats.com/rider/julien-duval
22,CHAMPOUSSIN Clément,https://www.procyclingstats.com/rider/clement-champoussin
23,JAUREGUI Quentin,https://www.procyclingstats.com/rider/quentin-jauregui
24,DENZ Nico,https://www.procyclingstats.com/rider/nico-denz
25,BOUCHARD Geoffrey,https://www.procyclingstats.com/rider/geoffrey-bouchard
26,DOMONT Axel,https://www.procyclingstats.com/rider/axel-domont
27,BIDARD François,https://www.procyclingstats.com/rider/francois-bidard
28,CHEVRIER Clément,https://www.procyclingstats.com/rider/clement-chevrier
29,JORGENSON Matteo,https://www.procyclingstats.com/rider/matteo-jorgenson
30,HÄNNINEN Jaakko,https://www.procyclingstats.com/rider/jaakko-hanninen
31,JULLIEN Anthony,https://www.procyclingstats.com/rider/anthony-jullien
32,FUGLSANG Jakob,https://www.procyclingstats.com/rider/jakob-fuglsang
33,SÁNCHEZ Luis León,https://www.procyclingstats.com/rider/luis-leon-sanchez
34,IZAGIRRE Ion,https://www.procyclingstats.com/rider/ion-izagirre
35,LÓPEZ Miguel Ángel,https://www.procyclingstats.com/rider/miguel-angel-lopez
36,LUTSENKO Alexey,https://www.procyclingstats.com/rider/aleksey-lutsenko
37,IZAGIRRE Gorka,https://www.procyclingstats.com/rider/gorka-izagirre
38,BILBAO Pello,https://www.procyclingstats.com/rider/pello-bilbao
39,CORT Magnus,https://www.procyclingstats.com/rider/magnus-cort-nielsen
40,CATALDO Dario,https://www.procyclingstats.com/rider/dario-cataldo
41,VILLELLA Davide,https://www.procyclingstats.com/rider/davide-villella
42,KUDUS Merhawi,https://www.procyclingstats.com/rider/merhawi-kudus
43,ZEITS Andrey,https://www.procyclingstats.com/rider/andrey-zeits
44,FRAILE Omar,https://www.procyclingstats.com/rider/omar-fraile
45,BALLERINI Davide,https://www.procyclingstats.com/rider/davide-ballerini
46,HIRT Jan,https://www.procyclingstats.com/rider/jan-hirt
47,BOARO Manuele,https://www.procyclingstats.com/rider/manuele-boaro
48,GRUZDEV Dmitriy,https://www.procyclingstats.com/rider/dmitriy-gruzdev
49,HOULE Hugo,https://www.procyclingstats.com/rider/hugo-houle
50,DE VREESE Laurens,https://www.procyclingstats.com/rider/laurens-de-vreese
